"input" "filtered" "denoisedF" "denoisedR" "merged" "NoChim"
"BA20ABBAAbitibi1" 107578 83571 83551 83530 83055 81810
"BA27BEPAAbitibi2" 111765 93984 93943 93933 93434 91729
"BA29PispAbitibi1" 102678 76560 76535 76502 75477 73665
"BA30PispAbitibi2" 80786 69313 69230 69264 64237 57581
"BA31PispAbitibi3" 45202 35648 35606 35605 32426 25896
"BB17ACRUBic1" 51015 45086 45056 45039 44913 43411
"BB18ACRUBic2" 49968 43789 43724 43647 43327 41403
"BB21ABBABic2" 93557 75415 75139 75268 64872 43885
"BB22ABBABic3" 41913 34756 34673 34697 30306 19160
"BB23ACSABic1" 26436 23621 23574 23522 22734 19802
"BB24ACSABic2" 32483 27674 27546 27463 24362 19073
"BB25ACSABic3" 50140 42043 41920 41828 38689 33065
"BB26PispBic1" 35087 28923 28751 28817 22202 16962
"BB27PispBic2" 135476 112200 111809 111883 94519 69684
"BB28PispBic3" 103471 84453 84291 84300 72970 56769
"BB30BEPABic2" 77064 65802 65643 65666 59348 46197
"BB31BEPABic3" 82067 70210 70103 70046 65993 52787
"BG16ABBAGatineau1" 65579 55185 55095 55095 50212 38291
"BG17ABBAGatineau2" 55365 45971 45892 45897 41813 27910
"BG20ACSAGatineau2" 50922 44423 44337 44321 40085 27938
"BG22ACRUGatineau1" 46161 40420 40320 40359 35673 27287
"BG24ACRUGatineau3" 29310 25390 25356 25347 24029 17896
"BG25BEPAGatineau1" 56521 40765 40677 40700 39063 26551
"BG26BEPAGatineau2" 27040 22443 22396 22398 20628 13948
"BG27BEPAGatineau3" 41559 36025 35991 35942 34194 25045
"BG28PispGatineau1" 46578 36025 35920 35906 29254 19438
"BG29PispGatineau2" 34778 23180 23042 23066 17425 13355
"BG30PispGatineau3" 29128 24174 24067 24020 17079 10864
"BS21ACSASutton1" 21432 18327 18284 18276 17330 14924
"BS22ACSASutton2" 36736 32888 32845 32844 29129 17695
"BS23ACSASutton3" 20499 17884 17810 17789 15080 10528
"BS24ACRUSutton1" 39228 31989 31889 31820 29533 25820
"BS25ACRUSutton2" 33163 28977 28906 28898 27412 19881
"BS26ACRUSutton3" 21534 17065 17017 17002 14928 10438
"BS27BEPASutton1" 24439 20721 20673 20655 19081 13300
"BS28BEPASutton2" 20040 16893 16854 16846 16054 12006
"BS29BEPASutton3" 15244 12027 11987 11998 10897 6754
"BS30PispSutton1" 17656 14944 14864 14880 11648 8782
"BS31PispSutton2" 15336 12052 12007 12002 10314 8199
"BS32PispSutton3" 14042 11106 11064 11050 9709 6041
"BS33ABBASutton1" 20638 15967 15929 15935 13318 8437
"BS34ABBASutton2" 152739 121539 121028 121152 110070 80370
"BS35ABBASutton3" 145338 116428 116134 115947 102391 69850
"CA32ACSAAbitibi1" 86454 73768 73688 73704 73140 71978
"CA33ACSAAbitibi2" 64637 54257 54225 54241 53836 52809
"CA34ACSAAbitibi3" 58610 49897 49858 49829 49478 48776
"CA35ABBAAbitibi1" 56010 44150 44127 44115 42139 38607
"CA36ABBAAbitibi2" 41865 33201 33164 33153 32653 31797
"CA37ABBAAbitibi3" 131805 102885 102765 102804 94498 78262
"CA38ACRUAbitibi1" 161156 141387 141324 141314 141010 137470
"CA39ACRUAbitibi2" 97838 85317 85281 85288 84906 82396
"CA43BEPAAbitibi3" 84055 71874 71649 71691 67669 56884
"CA44PispAbitibi1" 65899 52867 52730 52764 46028 36878
"CA45PispAbitibi2" 64185 51350 51292 51303 47638 41976
"CB32ACRUBic1" 123206 107805 107689 107705 106810 104646
"CB35ABBABic1" 85616 69516 69253 69313 58774 39646
"CB36ABBABic2" 40634 33540 33438 33438 27726 17050
"CB37ABBABic3" 28174 22076 22039 22026 19467 14451
"CB38ACSABic1" 35950 30570 30437 30363 25285 20806
"CB39ACSABic2" 38269 32954 32894 32846 31164 28004
"CB40ACSABic3" 64377 44431 44326 44216 40483 30432
"CB41PispBic1" 40799 33948 33904 33891 28071 20640
"CB42PispBic2" 15435 12546 12518 12501 10830 7470
"CB43PispBic3" 28235 23130 23001 23033 18811 14732
"CB45BEPABic2" 22068 19180 19159 19149 18305 15787
"CB46BEPABic3" 15659 13150 13121 13121 11473 7827
"CG31ABBAGatineau1" 30336 22916 22872 22851 20414 16410
"CG32ABBAGatineau2" 33644 27223 27157 27182 23150 14616
"CG33ABBAGatineau3" 31470 26105 26061 26028 21511 16598
"CG34ACSAGatineau1" 38623 18715 18662 18656 16821 13745
"CG35ACSAGatineau2" 85054 73388 73207 73207 65687 47313
"CG36ACSAGatineau3" 104719 85609 85261 85424 73739 53081
"CG37ACRUGatineau1" 89319 67319 67252 67210 65528 59557
"CG38ACRUGatineau2" 76702 62807 62688 62657 57248 41726
"CG39ACRUGatineau3" 103802 86683 86475 86459 78902 63672
"CG40BEPAGatineau1" 59777 51569 51520 51500 50026 43107
"CG41BEPAGatineau2" 77485 61214 61071 61099 55504 36967
"CG42BEPAGatineau3" 70170 59831 59744 59739 58097 52754
"CG43PispGatineau1" 61002 45693 45570 45577 39497 32030
"CG44PispGatineau2" 46401 37978 37758 37773 26019 17949
"CG45PispGatineau3" 69360 57816 57670 57635 51933 46700
"CG46ABBAGatineautop" 65164 52223 52171 52104 50311 48267
"CG47ABBAGatineauN" 45964 37569 37412 37435 27632 19679
"CG48ABBAGatineauS" 45387 36793 36733 36728 32953 28162
"CG49ABBAGatineauE" 57643 45494 45429 45396 44009 42284
"CG50ABBAGatineauO" 40257 31002 30968 30964 29303 26537
"CG51ACSAGatineautop" 48051 38307 38260 38250 36920 33849
"CG52ACSAGatineauN" 22121 19053 19007 19013 16921 11502
"CG53ACSAGatineauS" 26563 23403 23351 23348 21177 16643
"CG54ACSAGatineauE" 33193 25731 25666 25673 22892 15383
"CG55ACSAGatineauO" 44055 38017 37886 37859 30700 19386
"CG56ACRUGatineautop" 32144 27210 27178 27136 24978 18151
"CG57ACRUGatineauN" 28481 24107 24054 24075 21818 16074
"CG58ACRUGatineauS" 28130 24655 24632 24615 23593 21484
"CG59ACRUGatineauE" 26868 23548 23498 23506 21340 14856
"CG60ACRUGatineauO" 24525 21089 21028 20985 18541 10708
"CG61BEPAGatineautop" 38228 32841 32749 32785 29949 19021
"CG62BEPAGatineauN" 26831 22871 22795 22789 20553 11885
"CG63BEPAGatineauS" 25335 22369 22299 22290 20710 14400
"CG64BEPAGatineauE" 16406 14200 14181 14156 12889 7888
"CG65BEPAGatineauO" 22431 19195 19159 19158 17465 11349
"CG66PispGatineautop" 29936 25400 25318 25299 19542 14981
"CG67PispGatineauN" 158905 134458 133492 133803 100146 72869
"CG68PispGatineauS" 108743 91248 90787 90718 68256 50572
"CG69PispGatineauE" 87936 74664 74112 74403 54356 39939
"CG70PispGatineauO" 62417 51447 51052 51225 36377 25961
"CS36ACSASutton1" 143068 124233 124065 124002 117190 94646
"CS37ACSASutton2" 130188 112104 111742 111652 104195 88425
"CS38ACSASutton3" 130346 113903 113632 113696 110707 104193
"CS39ACRUSutton1" 148099 129790 129453 129315 125956 119601
"CS40ACRUSutton2" 117636 103586 103485 103435 102464 99092
"CS41ACRUSutton3" 152684 128382 128193 128134 122539 114214
"CS42BEPASutton1" 107820 94302 94240 94256 93813 92058
"CS43BEPASutton2" 82198 70686 70618 70647 68999 61812
"CS44BEPASutton3" 107019 90087 89921 89977 85970 73465
"CS45PispSutton1" 58160 48922 48865 48801 43546 36323
"CS46PispSutton2" 110107 91597 91404 91430 84469 72226
"CS47PispSutton3" 122999 98557 98291 98322 84849 62973
"CS48ABBASutton1" 80891 67122 67085 67066 63853 59559
"CS49ABBASutton2" 67371 55758 55584 55637 47489 38035
"CS50ABBASutton3" 53682 44340 44196 44199 36690 30116
